#Distance	x(m)	y(m)	Elevation(m)
1429.106386	2598538.004	1198761.591	550.414978
1432.808734	2598540.265	1198764.523	548.9580078
1436.511082	2598542.526	1198767.454	548.9719849
1440.21343	2598544.787	1198770.386	548.9420166
1443.915779	2598547.048	1198773.318	548.9089966
1447.618127	2598549.309	1198776.25	548.7189941
1451.320475	2598551.57	1198779.182	548.4290161
1455.022823	2598553.83	1198782.114	548.2600098
1458.725171	2598556.091	1198785.046	548.3649902
1462.427519	2598558.352	1198787.977	548.7579956
1466.129867	2598560.613	1198790.909	549.1480103
1469.832216	2598562.874	1198793.841	549.7670288
1473.534564	2598565.135	1198796.773	550.2930298
1477.236912	2598567.396	1198799.705	550.309021
1480.93926	2598569.657	1198802.637	549.4710083
1484.641608	2598571.917	1198805.569	549.1450195
1488.343956	2598574.178	1198808.501	549.0869751
1492.046304	2598576.439	1198811.432	549.0499878
1495.748653	2598578.7	1198814.364	548.9030151
1499.451001	2598580.961	1198817.296	548.8759766
1503.153349	2598583.222	1198820.228	548.9140015
1506.855697	2598585.483	1198823.16	548.9279785
1510.558045	2598587.744	1198826.092	548.7559814
1514.260393	2598590.004	1198829.024	548.8400269
1517.962742	2598592.265	1198831.955	548.8909912
1521.66509	2598594.526	1198834.887	548.7620239
1525.367438	2598596.787	1198837.819	548.7020264
1529.069786	2598599.048	1198840.751	548.6420288
1532.772134	2598601.309	1198843.683	548.1599731
1536.474482	2598603.57	1198846.615	547.5709839
1540.17683	2598605.831	1198849.547	546.7509766
1543.879179	2598608.091	1198852.479	546.3599854
1547.581527	2598610.352	1198855.41	546.5679932
1551.283875	2598612.613	1198858.342	546.46698
1554.986223	2598614.874	1198861.274	546.690979
1558.688571	2598617.135	1198864.206	546.5720215
1562.390919	2598619.396	1198867.138	546.8460083
1566.093267	2598621.657	1198870.07	546.822998
1569.795616	2598623.918	1198873.002	546.9780273
1573.497964	2598626.178	1198875.933	547.2420044
1577.200312	2598628.439	1198878.865	547.4990234
1580.90266	2598630.7	1198881.797	547.4429932
1584.605008	2598632.961	1198884.729	547.6409912
1588.307356	2598635.222	1198887.661	547.7080078
1592.009705	2598637.483	1198890.593	548.3699951
1595.712053	2598639.744	1198893.525	548.2420044
1599.414401	2598642.005	1198896.456	547.9290161
1603.116749	2598644.265	1198899.388	548.3079834
1606.819097	2598646.526	1198902.32	548.0980225
1610.521445	2598648.787	1198905.252	548.059021
1614.223793	2598651.048	1198908.184	548.2800293
1617.926142	2598653.309	1198911.116	548.492981
1621.62849	2598655.57	1198914.048	548.6409912
1625.330838	2598657.831	1198916.98	548.6409912
1629.033186	2598660.091	1198919.911	548.9869995
1632.735534	2598662.352	1198922.843	549.0529785
1636.437882	2598664.613	1198925.775	549.0479736
1640.14023	2598666.874	1198928.707	549.5369873
1643.842579	2598669.135	1198931.639	549.598999
1647.544927	2598671.396	1198934.571	549.5499878
1651.247275	2598673.657	1198937.503	549.5880127
1654.949623	2598675.918	1198940.434	549.835022
1658.651971	2598678.178	1198943.366	549.8859863
1662.354319	2598680.439	1198946.298	549.9450073
1666.056668	2598682.7	1198949.23	550.0859985
1669.759016	2598684.961	1198952.162	550.0720215
1673.461364	2598687.222	1198955.094	550.1569824
1677.163712	2598689.483	1198958.026	550.2919922
1680.86606	2598691.744	1198960.958	550.5339966
1684.568408	2598694.005	1198963.889	551.2280273
1688.270756	2598696.265	1198966.821	551.1810303
1691.973105	2598698.526	1198969.753	551.617981
1695.675453	2598700.787	1198972.685	551.6870117
1699.377801	2598703.048	1198975.617	551.5150146
1703.080149	2598705.309	1198978.549	551.3980103
1706.782497	2598707.57	1198981.481	551.5020142
1710.484845	2598709.831	1198984.412	551.4979858
1714.187193	2598712.092	1198987.344	551.492981
1717.889542	2598714.352	1198990.276	551.677002
1721.59189	2598716.613	1198993.208	551.8300171
1725.294238	2598718.874	1198996.14	551.8770142
1728.996586	2598721.135	1198999.072	551.9630127
1732.698934	2598723.396	1199002.004	552.0319824
1736.401282	2598725.657	1199004.935	552.0250244
1740.103631	2598727.918	1199007.867	552.0250244
1743.805979	2598730.179	1199010.799	552.1710205
1747.508327	2598732.439	1199013.731	552.1569824
1751.210675	2598734.7	1199016.663	552.3300171
1754.913023	2598736.961	1199019.595	552.3070068
1758.615371	2598739.222	1199022.527	552.5219727
1762.317719	2598741.483	1199025.459	552.5930176
1766.020068	2598743.744	1199028.39	552.5390015
1769.722416	2598746.005	1199031.322	552.5599976
1773.424764	2598748.266	1199034.254	552.6069946
1777.127112	2598750.526	1199037.186	552.6790161
1780.82946	2598752.787	1199040.118	552.8829956
1784.531808	2598755.048	1199043.05	552.8189697
1788.234156	2598757.309	1199045.982	553.0360107
1791.936505	2598759.57	1199048.913	553.6170044
1795.638853	2598761.831	1199051.845	553.5720215
1799.341201	2598764.092	1199054.777	553.6530151
1803.043549	2598766.353	1199057.709	553.4860229
1806.745897	2598768.613	1199060.641	553.6500244
1810.448245	2598770.874	1199063.573	553.6920166
1814.150594	2598773.135	1199066.505	553.6220093
1817.852942	2598775.396	1199069.437	553.6300049
1821.55529	2598777.657	1199072.368	553.697998
1825.257638	2598779.918	1199075.3	553.7050171
1828.959986	2598782.179	1199078.232	553.6619873
1832.662334	2598784.44	1199081.164	553.6099854
1836.364682	2598786.7	1199084.096	553.7550049
1840.067031	2598788.961	1199087.028	553.8079834
1843.769379	2598791.222	1199089.96	554.1599731
1847.471727	2598793.483	1199092.891	554.7210083
1851.174075	2598795.744	1199095.823	554.7089844
1854.876423	2598798.005	1199098.755	555.0560303
1858.578771	2598800.266	1199101.687	555.1049805
1862.281119	2598802.527	1199104.619	555.5280151
1865.983468	2598804.787	1199107.551	555.473999
1869.685816	2598807.048	1199110.483	555.6829834
1873.388164	2598809.309	1199113.414	555.8369751
1877.090512	2598811.57	1199116.346	555.4489746
1880.79286	2598813.831	1199119.278	555.3720093
1884.495208	2598816.092	1199122.21	555.3569946
1888.197557	2598818.353	1199125.142	556.0189819
1891.899905	2598820.614	1199128.074	556.3850098
1895.602253	2598822.874	1199131.006	556.3930054
1899.304601	2598825.135	1199133.938	556.6329956
1903.006949	2598827.396	1199136.869	556.7199707
1906.709297	2598829.657	1199139.801	554.2639771
1910.411645	2598831.918	1199142.733	553.7030029
1914.113994	2598834.179	1199145.665	553.5999756
1917.816342	2598836.44	1199148.597	551.3880005
1921.51869	2598838.701	1199151.529	550.2470093
1925.221038	2598840.961	1199154.461	548.5150146
1928.923386	2598843.222	1199157.392	546.8359985
1932.625734	2598845.483	1199160.324	546.2369995
1936.328082	2598847.744	1199163.256	545.8259888
1940.030431	2598850.005	1199166.188	545.4060059
1943.732779	2598852.266	1199169.12	545.2509766
1947.435127	2598854.527	1199172.052	543.2780151
1951.137475	2598856.787	1199174.984	542.3330078
1954.839823	2598859.048	1199177.916	541.7449951
1958.542171	2598861.309	1199180.847	541.6170044
1962.24452	2598863.57	1199183.779	541.5859985
1965.946868	2598865.831	1199186.711	541.4829712
1969.649216	2598868.092	1199189.643	541.2709961
1973.351564	2598870.353	1199192.575	540.7529907
1977.053912	2598872.614	1199195.507	540.5280151
1980.75626	2598874.874	1199198.439	540.5980225
1984.458608	2598877.135	1199201.37	540.7269897
1988.160957	2598879.396	1199204.302	540.7399902
1991.863305	2598881.657	1199207.234	540.4790039
1995.565653	2598883.918	1199210.166	540.4520264
1999.268001	2598886.179	1199213.098	537.9609985
2002.970349	2598888.44	1199216.03	538.5570068
2006.672697	2598890.701	1199218.962	537.6339722
2010.375045	2598892.961	1199221.893	537.7940063
2014.077394	2598895.222	1199224.825	537.6079712
2017.779742	2598897.483	1199227.757	537.5189819
2021.48209	2598899.744	1199230.689	537.3040161
2025.184438	2598902.005	1199233.621	537.3259888
2028.886786	2598904.266	1199236.553	537.3179932
2032.589134	2598906.527	1199239.485	537.2880249
2036.291483	2598908.788	1199242.417	537.1820068
2039.993831	2598911.048	1199245.348	537.0009766
2043.696179	2598913.309	1199248.28	536.0369873
2047.398527	2598915.57	1199251.212	535.0720215
2051.100875	2598917.831	1199254.144	534.5050049
2054.803223	2598920.092	1199257.076	533.7559814
2058.505571	2598922.353	1199260.008	533.6370239
2062.20792	2598924.614	1199262.94	533.7369995
2065.910268	2598926.875	1199265.871	533.8770142
2069.612616	2598929.135	1199268.803	533.7589722
2073.314964	2598931.396	1199271.735	533.7579956
2077.017312	2598933.657	1199274.667	533.7109985
2080.71966	2598935.918	1199277.599	533.6140137
2084.422008	2598938.179	1199280.531	533.5250244
2088.124357	2598940.44	1199283.463	533.3369751
2091.826705	2598942.701	1199286.395	533.3179932
2095.529053	2598944.962	1199289.326	533.1849976
2099.231401	2598947.222	1199292.258	533.2940063
2102.933749	2598949.483	1199295.19	533.210022
2106.636097	2598951.744	1199298.122	532.7609863
2110.338446	2598954.005	1199301.054	532.4039917
2114.040794	2598956.266	1199303.986	532.2479858
2117.743142	2598958.527	1199306.918	532.1069946
2121.44549	2598960.788	1199309.849	532.2750244
2125.147838	2598963.049	1199312.781	532.2800293
2128.850186	2598965.309	1199315.713	532.2360229
2132.552534	2598967.57	1199318.645	532.1740112
2136.254883	2598969.831	1199321.577	532.1409912
2139.957231	2598972.092	1199324.509	532.2930298
2143.659579	2598974.353	1199327.441	532.2880249
2147.361927	2598976.614	1199330.373	532.132019
2151.064275	2598978.875	1199333.304	532.3319702
2154.766623	2598981.136	1199336.236	532.4509888
